試合数,日付,対戦相手,W/L,得点,失点,ゲーム差,試合時間,観客数,連勝（連敗）,打席数,ヒット数,二塁打数,三塁打数,ホームラン数,打点
74,6月17日,ロッキーズ,W,9,5,up 8.5,2:44,32021,++,39,14,5,1,0,9
75,6月18日,ロッキーズ,W,11,9,up 9.0,2:55,33791,+++,34,9,1,1,4,11
76,6月19日,ロッキーズ,L,6,7,up 9.0,2:30,37503,-,37,10,4,0,0,6
77,6月20日,ロッキーズ,W,5,3,up 9.0,2:34,40236,+,38,12,2,0,3,5
78,6月21日,エンゼルス,L,2,3,up 8.0,2:40,51841,-,33,5,0,0,1,2
79,6月22日,エンゼルス,W,7,2,up 8.0,2:10,53273,+,32,9,3,0,2,7
80,6月24日,ホワイトソックス,W,3,0,up 8.5,2:28,25070,++,34,9,2,0,0,2
81,6月25日,ホワイトソックス,W,4,3,up 8.5,2:49,23662,+++,34,7,1,0,2,4
82,6月26日,ホワイトソックス,W,4,0,up 8.5,2:02,36225,++++,32,6,2,0,1,4
83,6月28日,ジャイアンツ,L,3,5,up 7.5,2:15,40052,-,31,7,1,1,0,3
84,6月29日,ジャイアンツ,W,14,7,up 7.5,3:45,39663,+,47,16,4,1,1,14
85,6月30日,ジャイアンツ,L,4,10,up 7.5,2:27,40428,-,35,8,3,0,1,4
86,7月2日,ダイヤモンドバックス,W,6,5,up 8.5,2:44,52931,+,37,12,4,0,1,6
87,7月3日,ダイヤモンドバックス,L,4,12,up 7.5,3:23,47965,-,30,6,1,0,2,4
88,7月4日,ダイヤモンドバックス,L,3,9,up 6.5,2:48,52320,--,33,6,0,0,0,3
89,7月5日,ブリュワーズ,W,8,5,up 6.5,2:30,49885,+,34,10,1,0,4,8
90,7月6日,ブリュワーズ,W,5,3,up 7.5,2:42,50086,++,35,9,0,1,3,5
91,7月7日,ブリュワーズ,L,2,9,up 7.5,2:53,43528,-,35,7,2,0,1,2
92,7月9日,フィリーズ,L,1,10,up 7.5,2:49,43065,--,33,7,0,0,1,1
93,7月10日,フィリーズ,L,3,4,up 7.5,2:30,42912,---,35,9,2,0,0,3
94,7月11日,フィリーズ,L,1,5,up 7.0,2:43,44020,----,31,5,1,0,1,1
95,7月12日,タイガース,W,4,3,up 8.0,2:58,42060,+,37,9,1,0,1,4
96,7月13日,タイガース,L,9,11,up 7.0,3:11,40196,-,38,12,1,1,2,9
97,7月14日,タイガース,L,3,4,up 7.0,2:52,35159,--,32,7,2,0,0,2
98,7月19日,レッドソックス,W,4,1,up 7.0,2:36,51562,+,28,4,2,0,1,4
99,7月20日,レッドソックス,W,7,6,up 7.0,3:30,48129,++,39,12,4,0,2,7
100,7月21日,レッドソックス,W,9,6,up 8.0,2:42,50824,+++,34,10,2,0,6,9
101,7月22日,ジャイアンツ,W,3,2,up 8.5,2:26,49576,++++,29,6,1,0,1,3
102,7月23日,ジャイアンツ,W,5,2,up 8.5,2:55,52627,+++++,31,9,2,0,0,5
103,7月24日,ジャイアンツ,L,3,8,up 7.5,2:51,54070,-,31,5,2,0,0,3
104,7月25日,ジャイアンツ,W,6,4,up 7.5,2:38,52291,+,36,14,3,0,2,5
105,7月26日,アストロズ,L,0,5,up 6.5,2:38,41452,-,32,6,1,0,0,0
106,7月27日,アストロズ,L,6,7,up 5.5,2:50,41819,--,34,7,1,0,2,6
107,7月28日,アストロズ,W,6,2,up 6.5,2:46,41418,+,34,8,0,0,3,6
108,7月30日,パドレス,L,5,6,up 5.5,2:48,47559,-,36,7,1,0,1,5
109,7月31日,パドレス,L,1,8,up 4.5,2:35,46997,--,29,3,1,0,0,1
110,8月2日,アスレチックス,L,5,6,up 4.0,2:27,21060,---,33,6,1,0,2,5
111,8月3日,アスレチックス,W,10,0,up 4.5,2:47,35207,+,40,14,2,0,0,9
112,8月4日,アスレチックス,W,3,2,up 4.5,2:27,25544,++,30,6,3,0,0,3
113,8月5日,フィリーズ,W,5,3,up 5.0,2:25,48178,+++,30,9,4,0,2,5
114,8月6日,フィリーズ,L,2,6,up 4.0,2:52,47150,-,35,7,3,0,1,2
115,8月7日,フィリーズ,L,4,9,up 3.0,2:49,45003,--,34,8,1,0,0,4
116,8月9日,パイレーツ,W,9,5,up 2.5,2:42,48664,+,32,8,2,0,3,9
117,8月10日,パイレーツ,W,4,1,up 2.5,2:29,50697,++,32,8,2,0,1,4
118,8月11日,パイレーツ,W,6,5,up 3.5,3:24,50389,+++,40,13,6,1,0,6
119,8月12日,ブリュワーズ,W,5,2,up 3.5,2:29,33618,++++,32,6,0,0,2,5
120,8月13日,ブリュワーズ,W,7,2,up 3.5,2:34,29174,+++++,40,13,3,0,4,7
121,8月14日,ブリュワーズ,L,4,5,up 2.5,2:59,31084,-,35,9,2,0,0,4
122,8月15日,ブリュワーズ,L,4,6,up 2.0,2:41,40447,--,36,10,1,0,0,4
123,8月16日,カージナルス,W,7,6,up 3.0,2:39,38485,+,39,12,2,0,3,7
124,8月17日,カージナルス,L,2,5,up 2.0,2:27,41929,-,30,4,0,0,1,2
125,8月18日,カージナルス,W,2,1,up 3.0,2:27,40246,+,35,9,2,0,1,2
126,8月19日,マリナーズ,W,3,0,up 3.0,2:15,51348,++,28,4,0,0,2,3
127,8月20日,マリナーズ,W,6,3,up 3.0,3:11,48395,+++,33,10,3,1,3,6
128,8月21日,マリナーズ,W,8,4,up 4.0,2:47,45295,++++,35,10,5,1,0,8
129,8月23日,レイズ,W,7,3,up 4.0,2:27,45556,+++++,32,9,0,0,2,7
130,8月24日,レイズ,L,8,9,up 3.0,2:50,48488,-,36,8,2,0,3,8
131,8月25日,レイズ,W,3,1,up 3.0,2:03,52464,+,28,5,0,0,2,3
132,8月27日,オリオールズ,L,2,3,up 3.0,2:41,52382,-,32,7,1,1,0,2
133,8月28日,オリオールズ,W,6,4,up 3.0,2:30,53290,+,31,5,0,0,2,5
134,8月29日,オリオールズ,W,6,3,up 4.0,2:55,53203,++,36,14,4,0,0,6
135,8月30日,ダイヤモンドバックス,W,10,9,up 5.0,3:13,46606,+++,36,10,4,0,3,9
136,8月31日,ダイヤモンドバックス,W,8,6,up 6.0,2:50,50041,++++,41,16,3,0,3,8
137,9月1日,ダイヤモンドバックス,L,3,14,up 5.0,2:38,46278,-,36,9,1,0,0,3
138,9月2日,ダイヤモンドバックス,W,11,6,up 5.0,3:25,43747,+,41,17,3,1,2,11
139,9月3日,エンゼルス,W,6,2,up 5.5,2:40,44731,++,36,6,0,1,1,6
140,9月4日,エンゼルス,L,1,10,up 4.5,2:18,44822,-,30,6,0,0,0,1
141,9月6日,ガーディアンズ,L,1,3,up 4.0,2:17,45318,--,32,6,2,0,1,1
142,9月7日,ガーディアンズ,W,7,2,up 5.0,2:34,48690,+,30,8,1,0,2,7
143,9月8日,ガーディアンズ,W,4,0,up 6.0,2:31,44207,++,32,9,1,1,2,4
144,9月9日,カブス,L,4,10,up 5.5,2:50,50495,-,35,10,0,0,1,4
145,9月10日,カブス,L,3,6,up 4.5,2:36,51923,--,33,8,0,0,3,3
146,9月11日,カブス,W,10,8,up 5.0,2:56,48691,+,36,12,1,0,5,10
147,9月13日,ブレーブス,L,2,6,up 4.5,2:26,40339,-,31,5,1,0,1,2
148,9月14日,ブレーブス,L,1,10,up 3.5,2:30,42732,--,32,7,3,0,0,1
149,9月15日,ブレーブス,W,9,2,up 3.5,2:42,39198,+,38,11,3,1,3,8
150,9月16日,ブレーブス,W,9,0,up 3.5,2:37,37109,++,30,4,1,0,1,8
151,9月17日,マーリンズ,L,9,11,up 3.5,2:57,17902,-,38,12,2,1,2,9
152,9月18日,マーリンズ,W,8,4,up 3.5,2:48,17138,+,39,11,1,0,3,8
153,9月19日,マーリンズ,W,20,4,up 4.0,3:06,17560,++,39,16,3,0,3,19
154,9月20日,ロッキーズ,W,6,4,up 4.0,2:21,49073,+++,32,9,1,0,3,6
155,9月21日,ロッキーズ,L,3,6,up 3.0,2:53,52267,-,33,7,0,0,1,3
156,9月22日,ロッキーズ,W,6,5,up 3.0,2:53,50730,+,32,11,0,0,4,6
157,9月24日,パドレス,L,2,4,up 2.0,2:44,50369,-,32,9,2,0,0,1
158,9月25日,パドレス,W,4,3,up 3.0,2:47,52310,+,30,8,3,0,0,4
159,9月26日,パドレス,W,7,2,up 4.0,2:29,52433,++,35,11,3,0,2,7
160,9月27日,ロッキーズ,W,11,4,up 4.0,2:59,48750,+++,40,15,3,0,3,10
161,9月28日,ロッキーズ,W,13,2,up 4.0,2:53,48395,++++,42,18,4,0,2,12
162,9月29日,ロッキーズ,W,2,1,up 5.0,2:33,48320,+++++,31,5,0,0,1,1
