試合数,日付,対戦相手,W/L,打席数,ヒット,2塁打,３塁打,ホームラン,打点,四球,デッドボール,三振,盗塁,盗塁失敗,打順,第1,第2,第3,第4,第5,第6,第7
73,6月16日,ロイヤルズ,W,3,2,0,0,2,2,1,0,0,0,0,2指,四球,中本,右本,中飛,該当なし,該当なし,該当なし
74,6月17日,ロッキーズ,W,5,3,2,0,0,1,1,0,0,1,0,1指,遊ゴ,右安,中2,左2,四球,ニゴ,該当なし
75,6月18日,ロッキーズ,W,5,2,0,0,1,2,0,0,0,0,0,1指,ニゴ,一ゴ,中本,中直,左安,該当なし,該当なし
77,6月20日,ロッキーズ,W,3,1,0,0,1,1,2,0,1,0,0,1指,中本,四球,空振,中飛,敬遠,該当なし,該当なし
79,6月22日,エンゼルス,W,4,1,0,0,1,2,1,0,0,0,0,1指,右直,右本,四球,ニゴ,ニゴ,該当なし,該当なし
80,6月24日,ホワイトソックス,W,3,0,0,0,0,1,1,0,2,0,0,1指,空振,遊ゴ,三振,四球,中犠,該当なし,該当なし
81,6月25日,ホワイトソックス,W,4,2,0,0,1,2,1,0,2,0,0,1指,右本,四球,右安,空振,空振,該当なし,該当なし
82,6月26日,ホワイトソックス,W,2,1,0,0,1,1,2,0,0,0,0,1指,右本,四球,三邪,四球,該当なし,該当なし,該当なし
84,6月29日,ジャイアンツ,W,4,1,0,0,1,1,2,0,2,0,0,1指,空振,中本,四球,左飛,空振,敬遠,該当なし
89,7月5日,ブリュワーズ,W,5,0,0,0,0,0,0,0,3,0,0,1指,空振,見振,空振,左直,一ゴ,該当なし,該当なし
90,7月6日,ブリュワーズ,W,2,2,0,1,1,1,2,1,0,1,0,1指,四球,死球,四球,右3,中本,該当なし,該当なし
95,7月12日,タイガース,W,5,1,1,0,0,1,0,0,1,0,0,1指,三ゴ,中飛,左飛,空振,中2,該当なし,該当なし
98,7月19日,レッドソックス,W,4,1,1,0,0,0,0,0,3,0,0,1指,空振,空振,空振,左2,該当なし,該当なし,該当なし
100,7月21日,レッドソックス,W,3,1,0,0,1,1,1,0,1,0,0,1指,空振,左飛,中本,四球,該当なし,該当なし,該当なし
101,7月22日,ジャイアンツ,W,3,0,0,0,0,0,1,0,2,0,1,1指,四球,空振,一ゴ,空振,該当なし,該当なし,該当なし
102,7月23日,ジャイアンツ,W,5,2,1,0,0,3,0,0,3,1,0,1指,空振,空振,右2,空振,中安,該当なし,該当なし
104,7月25日,ジャイアンツ,W,4,2,1,0,1,1,1,0,0,0,0,1指,四球,投ゴ,左2,中飛,右本,該当なし,該当なし
107,7月28日,アストロズ,W,4,0,0,0,0,0,1,0,2,1,0,1指,中飛,空振,右飛,見振,四球,該当なし,該当なし
111,8月3日,アスレチックス,W,5,2,0,0,0,0,1,0,3,3,0,1指,四球,空振,二安,三振,中安,三振,該当なし
112,8月4日,アスレチックス,W,4,0,0,0,0,0,0,0,2,0,0,1指,三振,左飛,右飛,空振,該当なし,該当なし,該当なし
113,8月5日,フィリーズ,W,3,2,1,0,1,2,0,0,0,1,0,1指,三邪,右犠,右2,中本,該当なし,該当なし,該当なし
116,8月9日,パイレーツ,W,4,1,0,0,1,2,0,0,1,0,0,1指,空振,中本,遊飛,中直,該当なし,該当なし,該当なし
117,8月10日,パイレーツ,W,3,0,0,0,0,0,1,0,2,0,0,1指,一ゴ,空振,空振,敬遠,該当なし,該当なし,該当なし
119,8月12日,ブリュワーズ,W,3,1,0,0,1,2,1,0,0,1,0,1指,中直,二ゴ,中本,四球,該当なし,該当なし,該当なし
120,8月13日,ブリュワーズ,W,5,1,0,0,1,1,0,0,2,0,0,1指,中飛,左本,三振,三ゴ,三振,該当なし,該当なし
123,8月16日,カージナルス,W,5,0,0,0,0,0,0,0,2,0,0,1指,空振,二直,左飛,遊ゴ,空振,該当なし,該当なし
125,8月18日,カージナルス,W,5,1,0,0,1,1,0,0,2,0,0,1指,空振,三飛,右本,三振,一ゴ,該当なし,該当なし
126,8月19日,マリナーズ,W,3,1,0,0,0,0,1,0,0,0,0,1指,左安,中飛,二ゴ,四球,該当なし,該当なし,該当なし
127,8月20日,マリナーズ,W,5,2,0,1,0,0,0,0,1,1,0,1指,空振,右3,投ゴ,一直,右安,該当なし,該当なし
128,8月21日,マリナーズ,W,4,1,0,0,0,0,1,0,1,1,0,1指,空振,四球,右安,左飛,一ゴ,該当なし,該当なし
131,8月25日,レイズ,W,3,0,0,0,0,0,0,1,1,0,0,1指,右飛,空振,左直,死球,該当なし,該当なし,該当なし
133,8月28日,オリオールズ,W,4,2,0,0,1,1,0,0,1,2,0,1指,右本,右安,一ゴ,三振,該当なし,該当なし,該当なし
134,8月29日,オリオールズ,W,5,0,0,0,0,0,0,0,1,0,0,1指,中直,三振,中飛,中飛,左飛,該当なし,該当なし
135,8月30日,ダイヤモンドバックス,W,4,2,1,0,1,1,0,1,2,1,0,1指,右2,死球,空振,空振,左本,該当なし,該当なし
136,8月31日,ダイヤモンドバックス,W,5,1,0,0,1,2,0,0,1,0,0,1指,中本,中犠,一ゴ,二ゴ,三振,右直,該当なし
138,9月2日,ダイヤモンドバックス,W,4,2,0,0,0,0,2,0,1,3,0,1指,右安,二ゴ,四球,右安,四球,三振,該当なし
139,9月3日,エンゼルス,W,4,1,0,1,0,1,1,0,2,0,0,1指,一ゴ,右3,三振,空振,敬遠,該当なし,該当なし
142,9月7日,ガーディアンズ,W,4,0,0,0,0,0,0,0,1,0,0,1指,遊ゴ,二ゴ,空振,左飛,該当なし,該当なし,該当なし
143,9月8日,ガーディアンズ,W,4,2,0,0,1,1,0,0,1,0,0,1指,左飛,中安,右本,空振,該当なし,該当なし,該当なし
146,9月11日,カブス,W,4,2,0,0,1,3,1,0,0,1,0,1指,中本,四球,中安,中飛,右飛,該当なし,該当なし
149,9月15日,ブレーブス,W,4,2,2,0,0,2,1,0,2,0,0,1指,空振,三振,右2,右2,敬遠,該当なし,該当なし
150,9月16日,ブレーブス,W,4,0,0,0,0,2,1,0,2,0,0,1指,三振,四球,遊ゴ,二野,空振,該当なし,該当なし
152,9月18日,マーリンズ,W,5,1,0,0,0,0,0,0,2,1,0,1指,左安,遊飛,三振,右直,空振,該当なし,該当なし
153,9月19日,マーリンズ,W,6,6,2,0,3,10,0,0,0,2,0,1指,右2,右安,中2,右本,左本,右本,該当なし
154,9月20日,ロッキーズ,W,4,3,0,0,1,2,0,0,1,1,0,1指,空振,中安,中本,一安,該当なし,該当なし,該当なし
158,9月25日,パドレス,W,3,2,1,0,0,2,1,0,1,1,0,1指,四球,三振,右２,中安,該当なし,該当なし,該当なし
159,9月26日,パドレス,W,5,3,1,0,0,1,0,0,0,0,0,1指,遊ゴ,一ゴ,右安,右安,左2,該当なし,該当なし
160,9月27日,ロッキーズ,W,5,4,1,0,1,4,0,0,0,1,0,1指,遊ゴ,右安,右安,右本,左2,該当なし,該当なし
161,9月28日,ロッキーズ,W,5,2,0,0,0,0,1,0,0,1,0,1指,右安,遊ゴ,四球,右安,右直,二ゴ,該当なし
162,9月29日,ロッキーズ,W,4,1,0,0,0,0,0,0,0,1,0,1指,二ゴ,遊ゴ,二ゴ,右安,該当なし,該当なし,該当なし
34,5月3日,ブレーブス,W,3,1,0,0,0,1,2,0,1,2,0,2指,一ゴ,四球,空振,四球,中安,該当なし,該当なし
49,5月19日,レッズ,W,4,2,0,0,0,1,0,1,1,0,0,2指,空振,左飛,死球,一安,右安,該当なし,該当なし
86,7月2日,ダイヤモンドバックス,W,5,3,1,0,1,2,0,0,2,0,0,1指,左2,空振,中安,右本,空振,該当なし,該当なし
99,7月20日,レッドソックス,W,4,1,1,0,0,0,2,0,0,0,0,1指,一ゴ,三邪,左2,三飛,敬遠,敬遠,該当なし
118,8月11日,パイレーツ,W,6,1,0,1,0,0,0,0,0,0,0,1指,左飛,中飛,一ゴ,右3,遊飛,三邪,該当なし
129,8月23日,レイズ,W,5,2,0,0,1,4,0,0,0,1,0,1指,一直,遊安,遊ゴ,二ゴ,中本,該当なし,該当なし
156,9月22日,ロッキーズ,W,5,4,0,0,1,1,0,0,0,2,0,1指,左安,右安,一ゴ,右安,中本,該当なし,該当なし
